Nombre;Minimo;Maximo;Media
Final;1.0165;19705.0;19385.145105755044
Maximo;4.0675;19875.0;4886.293792255686
Minimo;1.0165;19675.0;19355.632070831285
Volumen;1221.0;3.6129692E7;29590.24733824734
Efectivo;2343.09;145765.44;62.21077295366375
